                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.0376,                0.61077,                 1.2845,                0.85841,                0.81696,                0.87808,                0.49051,                 1.5934,                0.85332,                 1.8527,              0.0006635,              0.0006635,              0.0006635
                     57,                 1.0422,                0.62197,                 1.3051,                0.86739,                 0.7886,                 0.8638,                0.48858,                 1.5869,                0.87014,                 1.8639,             0.00063875,             0.00063875,             0.00063875
                     58,                 1.0303,                0.60263,                 1.2972,                0.89025,                0.80544,                0.88372,                0.48567,                 1.5778,                0.88701,                 1.8735,               0.000614,               0.000614,               0.000614
                     59,                 1.0236,                0.57342,                 1.2743,                0.89168,                0.78014,                 0.8619,                0.49087,                 1.5672,                0.89153,                 1.8183,             0.00058925,             0.00058925,             0.00058925
                     60,                 1.0317,                0.60315,                 1.2939,                  0.891,                0.80142,                0.87595,                0.48436,                 1.5753,                0.85284,                 1.8552,              0.0005645,              0.0005645,              0.0005645
                     61,                0.99183,                 0.6061,                 1.2723,                0.93314,                0.79193,                0.89983,                0.50592,                 1.5678,                0.84495,                 1.8035,             0.00053975,             0.00053975,             0.00053975
                     62,                 0.9871,                0.59744,                 1.2598,                0.87906,                0.80142,                0.88278,                0.48668,                 1.5978,                0.86429,                 1.8458,               0.000515,               0.000515,               0.000515
                     63,                0.98682,                0.58226,                 1.2595,                0.85597,                 0.8227,                0.86658,                0.49003,                 1.5927,                 0.8669,                 1.8747,             0.00049025,             0.00049025,             0.00049025
                     64,                0.96373,                0.57108,                 1.2345,                0.90944,                0.78343,                0.87337,                0.48952,                 1.5977,                0.87063,                 1.8557,              0.0004655,              0.0004655,              0.0004655
                     65,                0.95231,                0.55913,                 1.2281,                0.85664,                0.80142,                0.86216,                0.48841,                 1.6026,                0.83899,                 1.8578,             0.00044075,             0.00044075,             0.00044075
                     66,                0.93807,                  0.542,                 1.2154,                 0.8513,                0.85267,                0.89387,                0.49306,                 1.6014,                0.85287,                 1.8563,               0.000416,               0.000416,               0.000416
                     67,                 0.9482,                0.55271,                 1.2041,                0.89343,                0.78014,                0.87295,                0.49449,                 1.5724,                0.84484,                 1.8288,             0.00039125,             0.00039125,             0.00039125
                     68,                0.95013,                0.56912,                 1.2553,                0.90191,                0.78258,                0.87047,                0.49051,                 1.6087,                0.84867,                  1.886,              0.0003665,              0.0003665,              0.0003665
